"loan_amnt","funded_amnt","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","pymnt_plan","url","desc","purpose","title","zip_code","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","mths_since_last_major_derog","policy_code","is_bad"
9000,9000,"60 months","12.68%",203.31,"C","C1","Schneider Electric","1 year","MORTGAGE",58852.56,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=738241","I'm listing a loan to consolidate the last of my credit card debt. It's been a long road to pay down high interest rate credit cards, but my family is finally near the end of the tunnel. We've paid down over 13K in the last 3 years. We are very excited to finally be getting out from credit cards and have worked very hard to become credit worthy. This is our last step and I think we'll make excellent candidates for a loan. Let me know of any questions you may have. Thanks!","credit_card","Credit Card Consolidation","841xx",18.86,0,"3/1/00",1,NA,NA,21,0,5081,18.4,33,FALSE,NA,4875,0
4000,4000,"36 months","7.68%",124.76,"A","A2","St Josephs Research Institute","1 year","RENT",41004,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=357066","major purchase","other","Amy","300xx",10.74,0,"3/1/96",3,NA,NA,11,0,2775,13.7,18,FALSE,NA,1561,0
1500,1500,"36 months","11.86%",49.73,"B","B5","Children's Vision First/ SFUSD","< 1 year","RENT",24000,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=596926",NA,"debt_consolidation","debt consolidation","941xx",14.8,0,"4/1/97",2,NA,NA,2,0,12609,93.4,5,FALSE,NA,186,1
25000,25000,"36 months","15.58%",873.76,"D","D3","Design Kitchen","< 1 year","MORTGAGE",78000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=556372",NA,"debt_consolidation","Secure Home Owner Cleaning Up Debt","606xx",13,0,"11/1/00",2,NA,NA,18,0,17978,67.6,38,FALSE,NA,9413,0
10000,10000,"36 months","7.88%",312.82,"A","A5","COCA COLA UNITED","10+ years","RENT",65004,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=517220",NA,"debt_consolidation","Consolidation","708xx",14.84,0,"1/1/96",0,NA,NA,5,0,1385,42,19,FALSE,NA,5600,0
3200,3200,"36 months","16.49%",113.28,"D","D3","Active Foam Products Inc.","8 years","RENT",33600,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=798044",NA,"other","summer 11","531xx",9.07,2,"11/1/05",0,4,NA,2,0,768,76.8,6,FALSE,NA,1094,0
4800,4800,"36 months","15.23%",166.94,"C","C5","CCS Medical","5 years","RENT",29004,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=743900",NA,"other","Vacation","337xx",11.96,0,"2/1/75",1,31,NA,4,0,2146,53.6,17,FALSE,NA,1927,0
5750,5750,"60 months","14.27%",134.6,"C","C2","RRd Partners","4 years","MORTGAGE",54000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=994632",NA,"debt_consolidation","Debt Consolidation","331xx",18.11,0,"12/1/94",0,NA,NA,10,0,25965,89.3,32,FALSE,NA,2781,0
3000,3000,"36 months","10.62%",97.68,"B","B3","WalMart","10+ years","OWN",35000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=486744",NA,"other","teachergrad","245xx",8.91,1,"6/1/93",2,13,NA,15,0,12509,37.1,31,FALSE,NA,779,1
7000,7000,"36 months","7.29%",217.07,"A","A4",NA,"10+ years","OWN",68000,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=738389","Borrower added on 04/26/11 > I own a campground that provides canoe and tube rental and this loan is to add to and replace old rental equipment<br/>","small_business","Small Business Loan","226xx",12.9,0,"9/1/78",0,NA,NA,4,0,5743,56.3,11,FALSE,NA,3710,0
5000,5000,"36 months","12.69%",167.73,"B","B5","European Service at Home","2 years","RENT",25000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1062012","Borrower added on 12/08/11 > i need a loan for holiday spendings<br><br> Borrower added on 12/08/11 > ...<br><br> Borrower added on 12/08/11 > my job is stable<br>","other","Other","600xx",20.54,0,"1/1/01",0,NA,NA,15,0,6811,97.3,37,FALSE,NA,2122,0
35000,35000,"60 months","20.62%",939.41,"F","F2","LG-Ericsson","4 years","MORTGAGE",120000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=772405","Borrower added on 06/01/11 > I'm current with all my bills, just need to consolidate to lower the payment and pay off amount.<br/>","debt_consolidation","debt consilidation","840xx",20.14,0,"11/1/98",2,NA,NA,9,0,70276,81.7,22,FALSE,NA,9979,0
35000,35000,"60 months","11.71%",773.44,"B","B3","Tecniplast USA","3 years","MORTGAGE",78500,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=984968","Borrower added on 10/09/11 > For home improvement<br/>","home_improvement","personal home loan","074xx",2.68,0,"4/1/94",0,NA,NA,5,0,2213,7.3,17,FALSE,NA,9875,0
14000,14000,"36 months","12.18%",466.2,"B","B4","Morgan Stanley Smith Barney","1 year","MORTGAGE",225000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=439788","These funds will be used fix two a/c units in the home and consolidate some other debt.","major_purchase","Home AC Units & Other debt","852xx",16.65,0,"3/1/92",1,NA,NA,8,0,37629,87.1,23,FALSE,NA,7013,0
16000,16000,"60 months","16.89%",396.7,"D","D4","crump ins srvs","5 years","RENT",31200,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=833946",NA,"debt_consolidation","Debt Consolidation Loan","103xx",15.08,0,"11/1/02",1,NA,NA,9,0,13788,75.8,15,FALSE,NA,7966,0
12000,12000,"60 months","18.79%",309.91,"E","E3","City of Jacksonville","6 years","RENT",30000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=875113",NA,"debt_consolidation","One debt, less mess!","362xx",18,0,"8/1/00",0,41,NA,11,0,14365,81.6,30,FALSE,NA,6648,1
4200,4200,"36 months","7.29%",130.25,"A","A4","Ranchers Club","10+ years","OWN",32700,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=723498","Borrower added on 04/08/11 > Looking to do a major purchase of new equipment and furniture.  I am an excellent consumer with no debt except for my home.  I have been employed at the same business for over 17 years.<br/>","major_purchase","Major Purchase Loan","871xx",1.14,0,"7/1/95",0,NA,NA,5,0,207,1.1,21,FALSE,NA,1688,1
10000,10000,"60 months","14.83%",237.01,"D","D3","Seaboard Farms","2 years","MORTGAGE",108000,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=611698",NA,"credit_card","pay it all off","739xx",8.44,0,"5/1/85",4,32,NA,11,0,1639,13.7,17,FALSE,NA,5746,0
24000,24000,"36 months","14.96%",831.52,"D","D2","GE","< 1 year","RENT",66000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=511934","Borrower added on 05/04/10 > Over an 8 year period I accrued some $30,000 in credit card debt while attending undergrad, and later, law school.   The legal job market has been particularly difficult to break into (even the Harvard, Yale and Stanford kids are having trouble), but after nearly a year of searching, I have landed firmly in a fantastic position with seemingly endless room for growth, and a more-than-decent starting salary.  I have paid off about $5k toward my debt in the past 4 months, however a large percentage of that money went toward interest.  My average APR is somewhere near 26 percent, though I have not missed a payment in more than four years.  I am wholeheartedly committed to paying down this debt in full within the coming 36 months.  After that, I hope to become an investing member of LendingClub.  If you have any questions or would like further details, please ask!  Thank you for having faith in me.<br/> Borrower added on 05/04/10 > In an attempt to make this process as easy as possible, I have read through many current loan applications that are undergoing funding.  I've found that lenders often would like to know the names, balances, and APRs of cards that borrowers intend to pay down/pay off with the loan funds received from LendingClub.  To that end, I have placed that information below.<br/><br/>LENDER    BAL     APR      MIN PYMT   Time to Pay off@ MIN PYMT<br/>Discover $4,425 @29.99 -  minimum $134 - 18 years <br/>Chase    $5,725  @20.24 - minimum $154    28 years<br/>GM Card $10,727 @ 22.90 - minimum $311  29 years<br/>MBNA (BoA) $4,918 @26.24 minimum $153   25 years<br/><br/>The total of my minimum payments on these cards is currently $752.  I *always* pay at least this much, but sometimes more.  For example, I paid an extra $2000 toward the above-referenced Discover card in February.  In response, Discover (understandably) accepted the money and reduced my credit line by $2k.  <br/><br/>The new payment on the loan I am seeking from LendingClub would be under $900 per month.  In just THREE years, I will have paid off 95 percent of the four loans found above.  This will be accomplished simply by paying $150 per month above my current minimums!  3 Years through LendingClub vs. 20+ years through the credit card companies is a no-brainer for me.  <br/><br/>One last thing I would like to mention.  I have noticed that LendingClub members often worry that a prospective borrower will pay off the loan ahead of schedule.  At this time, it is my intention to take the full 36 month term to pay off the loan I am seeking.  If I receive substantial raises over the next two years, I might then decide to accelerate repayment.  Full Disclosure =)  Thank you again.<br/> Borrower added on 05/05/10 > Edited to add:  My loan payment--if granted--from LendingClub will actually only be $832/month.  This is just $80 more than my current monthly minimums as described above.  I had previously stated I would be paying $150 per month above my current monthly minimums, so this makes the LendingClub loan option even more advantageous!<br/> Borrower added on 05/07/10 > I have just submitted my pay stub and employment verification information to LendingClub Home Office.  Hopefully they will update my status to verified/approved shortly!<br/>","credit_card","New Patent Lawyer @Fortune 10 Co. consolidating CCs from Undergrad & Law School","064xx",18.95,0,"9/1/99",0,31,NA,10,0,26220,68.5,21,FALSE,NA,9141,0
5000,5000,"36 months","8.49%",157.82,"A","A5","Wells Fargo Advisors","10+ years","MORTGAGE",62500,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=847097",NA,"debt_consolidation","Credit Card Consolidation","271xx",13.31,0,"9/1/90",1,NA,NA,12,0,42703,82.4,35,FALSE,NA,2420,0
3800,3800,"36 months","6.54%",116.54,"A","A4","Texas State University","< 1 year","MORTGAGE",35000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=642865",NA,"debt_consolidation","Debt Consolidation loan","787xx",17.97,0,"4/1/96",1,NA,NA,7,0,9635,51.2,20,FALSE,NA,1337,0
3500,3500,"36 months","10.62%",113.96,"B","B3","Tamko","10+ years","MORTGAGE",40000,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=496808","Borrower added on 03/20/10 > Personal improvements for my family<br/> Borrower added on 03/22/10 > I want this money to take my family on a trip. My job is 99% stable.<br/>","other","Improvements","647xx",20.01,0,"11/1/98",4,25,NA,5,0,0,0,16,FALSE,NA,1160,0
2500,2500,"36 months","18.64%",91.19,"E","E1","FDA","< 1 year","RENT",51630,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=996366","Borrower added on 10/19/11 > Thanks for your interest in helping me reach my consolidation goals.  Feel free to contact me with any questions.<br/>","debt_consolidation","Debt Consolidation Plan","208xx",20.37,2,"8/1/81",0,15,NA,25,0,336,33.6,50,FALSE,NA,636,0
4000,4000,"36 months","7.88%",125.13,"A","A5","Grubb and Ellis Commercial Real Estate","5 years","RENT",50000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=505867","Borrower added on 04/18/10 > Purpose of loan:<br/>The good news?  A friend of mine just won tickets to the World Cup in South Africa - free tickets to 6 games.  The bad news?  My airline ticket and lodging will come out to around $4,000.  I've just paid off all of my debt and am in good financial position, but do not have the cash on hand today to pay for this whole trip.  I could put this on a credit card, but I really prefer the structure and better interest rates of a personal loan.  I used Lending Club to consolidate some student loan debt and it was a great experience.  I know my lenders would agree.  This trip is a once-in-a-lifetime opportunity, so I just can't convince myself to pass.  I'll happily pay a couple hundred dollars a month at a fair interest rate for this experience.<br/><br/>My financial situation:<br/>I have just paid off all my debt and have very very low overhead.  This loan would be no burden on me at all and I'll likely be able to pay this off early.  I can safely say that this is a VERY LOW RISK opportunity for you.<br/><br/>Monthly net income: $2,500 - $3,000<br/><br/>Monthly expenses: $<br/>  Housing: $400<br/>  Insurance: $100<br/>  Car expenses: $100<br/>  Utilities: $0<br/>  Phone, cable, internet: $0<br/>  Food, entertainment: $400<br/>  Clothing, household expenses $100<br/>  Credit cards and other loans: $0<br/>  Other expenses: $0<br/>","vacation","Please Send Me to World Cup 2010","907xx",11.69,0,"9/1/02",1,NA,NA,4,0,23,0.1,11,FALSE,NA,1563,0
7800,7800,"36 months","16.07%",274.52,"D","D5","NATIONAL COMBUSTION Co.,inc.","3 years","MORTGAGE",40000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=502748","Borrower added on 04/14/10 > Hello, I plan to use the loan to payoff to high interest credit cards. I feel I am a good credit risk because a few years ago my credit took a dive when both my wife and me got laid off. I have since then paid all my outstanding debt and brought my score back up to the mid 600's. I also just brought a house in Jan/2010 and plan to rent part of the house to increase my income. My next step is to buy another investment home in 2012. I hope you will help me in this task buy trusting me in these hard times.<br/>","debt_consolidation","second loan","066xx",20.34,1,"2/1/93",5,16,53,13,2,9131,78.9,40,FALSE,NA,4105,0
1825,1825,"36 months","15.76%",63.95,"F","F1","TransContinental Direct","< 1 year","RENT",20004,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=350082","Looking to get around that amount, less would Ok to pay off the credit cards and thus having only 3 payments a month in comparison to having 8 and thus being able to put some money away each month to start building a nest egg.","debt_consolidation","Looking to paying off credit cards.","179xx",25.07,0,"11/1/04",3,NA,NA,18,0,5411,35.6,21,FALSE,NA,324,0
12000,12000,"36 months","7.49%",373.22,"A","A4","Citibank","4 years","OWN",201000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=772603","Borrower added on 06/02/11 > I have some small card balances that I wish to consolidate into one payment each month.  The LendingClub interest rate appears to be favorable for an unsecured loan.  I am in stable employment at a major global financial institution and have been employed at this company for over 4 years.  I travel quite a bit globally for my job so by consolidating with the LendingClub, I can arrange a single direct debit payment each month.  This is easy and requires no time committment on my part.  I have a high credit score and have never had any credit issues or dealings with collection agencies.  Thanks for considering this lending request.<br/>","debt_consolidation","Debt Consolidation Loan","128xx",1.34,0,"5/1/90",0,NA,NA,5,0,7811,28,7,FALSE,NA,6431,0
15000,15000,"60 months","18.67%",386.39,"F","F2","Universal Janitorial Services, Inc.","10+ years","RENT",63129.36,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=542849","Borrower added on 07/06/10 > This is my first loan request and am looking to consolidate CC debt in tune of $13,604.65 as of today's balances. My goal is to purchase our first home within six months and credit card utilization plays a big part in FICO scoring. An installment account is scored differently than CCs and this loan would result in a big bump in our FICO scores and thus place us in a better position to get a lower rate.<br/><br/>To summarize my credit reports, all are the same with up to a 13 year history (depending on the report) with an average age of approx 3-4 years. I don't know how much info you can see, but I have a total of 20 accounts on TransUnion with all but 5 being current and open with zero lates. The closed accounts include three closed and paid (in good standing) CCs that were closed due to higher rates and/or fees, and two car loan accounts. Both car loans are paid in full, with the latest being last spring and one followed me from a dark period in my credit history and was a redeemed repo. After the repo, I paid past due amounts and continued until paid in full and that was over 4 yrs ago. The repo occurred over 5 yrs ago with lates leading up to that. I believe there are seven 30 and 60 day lates reporting with the last being 1/2005. Other than that I have no other bad accounts reporting, including no judgments, collections, etc. <br/><br/>Per new credit, I have 8 inquiries reporting on TransUnion but all of them, except for one, are older than 1 yr old and are about to drop from the credit report. The most recent inquiry is 8-9 months old. This is my first and only attempt at a loan.<br/><br/>My monthly income is at $5,260 and I've been with the same company since May of 1997. I worked my way up and have served as president since the start of the year. We are in the commercial services industry (janitorial, security, landscaping, supply sales, etc.) since 1978 and are rebounding at $1.7M/yr, debt free, BTW. Not included in the stats are household income. My wife is a stay-at-home mom to 4 kids, but she earns income by serving on the board for our company. That income is at about $22k/yr. Aside from that, we earned an extra $5300 in reported misc. income last year. <br/><br/>Per DTI, our monthly obligations are the rent ($1000) and CC payments.<br/><br/>Per cash reserves, we have about $2000 in cash available at all times with $35k in a CD saved for our future home. We also have just over $20k in a 401(k).<br/><br/>One question I'd ask is why so much debt and why is your CC utilization so high? Over the past year, my wife didn't have (well, we didn't have) health insurance. Despite that, come 2 weeks ago, kiddo #4 came and we paid the hospital in cash. Felt great, but I used CCs as a crutch over the past many months. To compund things, I had over $8000 in credit with DSNB (Macys and Bloomies) and they made a change in CC reporting and stopped reporting the credit limits. That shot my CC utilization up by 35% overall in one day. Thankfully, I only had balances on two of the accounts, one of which recently got paid off and has yet to report. Last year, I added an Amex Green and funnelled all purchases on that card. That forces me to pay in full monthly all the while chipping away at the remaining CC balances (approx 10 of 20 accounts have balances). <br/><br/>I probably typed too much, but wanted to be thorough.<br/> Borrower added on 07/09/10 > I wanted to give an update...I called today and they had already received everything they needed. Approval close. They said that they are still awaiting the IRS' response to the 4506T. Come Monday or Tuesday they say, they'll get a reply.<br/>","debt_consolidation","CC Debt Consolidation Loan","220xx",7.66,0,"4/1/01",0,66,NA,15,0,13877,86.3,20,FALSE,NA,7705,1
10000,10000,"36 months","6.03%",304.36,"A","A1",NA,"n/a","OWN",50000,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1002584",NA,"debt_consolidation","Get out of debt","486xx",13.18,0,"9/1/68",0,NA,NA,11,0,7054,10.8,23,FALSE,NA,5491,0
23000,23000,"60 months","12.61%",518.75,"C","C2","The WellPoint Companies  Inc","7 years","RENT",42132,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=633860",NA,"debt_consolidation","Debt Consolidation","900xx",12.87,0,"3/1/95",0,NA,NA,8,0,19862,40.2,15,FALSE,NA,9075,0
7500,7500,"36 months","10.99%",245.51,"B","B3","Home Care Matters","5 years","MORTGAGE",28000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=834759","Borrower added on 07/30/11 > I plan to use these funds to pay down high interest credit cards.  Even though I don't use the cards at all, it seems like the balances never go down.  My monthly bills are around $600-$650 every month.  I've been with the same employer for 5 years, and I work in the healthcare field.  My job is very secure.  Over the last couple of years I have become very credit conscious, because I realize how much a good credit score can help me out in my lifetime.  I am the type of person that loves to sit down and pay my bills every month because it gives me a very accomplished feeling knowing that I am not living beyond my means.<br/>","debt_consolidation","CC","448xx",15.81,0,"10/1/02",0,NA,NA,9,0,8090,44.6,18,FALSE,NA,3938,0
15000,15000,"36 months","11.66%",495.79,"C","C3","EXPRESSJET AIRLINES","2 years","RENT",36000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=253766","I don't have much debt:  I have one student loan from direct loans servicing totaling 20600, and one credit card with a very low balance.  I would like to furnish my apartment, but i can not get a loan because my credit score is too low.  I have been working on my credit score for almost six months now with Lexington Law firm and Credit Bureau Experts, yet still the score does not get better.    I would like to request a loan in the amount of $15,000.  I am applying to the lending club because your offer for a three (3) year loan at 11.66% interest rate and 12.7% APR is almost what I was looking for.  However,  What I was looking for was $15,000 for a five (5) year loan at around $297.00 a month.  This fits into my budget.  I did not expect to have to pay $495.79 a month for a personal loan.    Although,  the loan terms is three years; it comes close to what i am looking for.  I have decided to make some adjustments to my monthly budget and since the loan term is three years; $495.79 a month did not come up to be a major problem in my monthly budget.  However,  I did have to cut back on some little things.  I would just have to be budget conscious for the next three years.    Again,  Three years is not a long time.  I am interested in applying for the loan.    Thank you.  Cheareen Jones","home_improvement","I WOULD LIKE TO FURNISH MY APARTMENT","071xx",5.17,1,"12/1/95",2,16,0,2,0,1340,53.6,16,FALSE,NA,7318,1
6000,6000,"36 months","7.68%",187.15,"A","A2","Harland Fincancial Solutions","8 years","MORTGAGE",66000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=411880","I have a great credit score and am looking to spread out some debt over time rather than take an immediate hit now.  My brother is getting married in the UK and this will fund the costs of the trip.  My income allows me to easily repay this loan and I plan on repaying it early.","debt_consolidation","Spread costs over time","327xx",8.04,0,"1/1/79",0,NA,NA,12,0,53625,13.4,18,FALSE,NA,3106,0
17000,17000,"60 months","18.67%",437.91,"F","F2","Insurance Auto Auctions Inc.","3 years","MORTGAGE",48000,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=579637","Borrower added on 10/05/10 > I plan on using this loan to pay off and consolidate several high interest rate credit cards.  I will be able to save money on a monthly basis and use that money towards faster debt repayment.  <br/><br/>I am well grounded with a mortgage and long term career with plans on marrying soon.  This makes me a reliable and reasonable borrower.  Also,  I have a good track record of making payments on time and in full.<br/>","debt_consolidation","Chase, Chase, Chase, 1FBUSA, Other","605xx",14.65,0,"7/1/04",0,56,NA,8,0,3408,87.4,22,FALSE,NA,8105,0
5500,5500,"36 months","11.99%",182.66,"B","B5","Baghouse & Idustrial Sheet metal","10+ years","RENT",57600,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=761604",NA,"debt_consolidation","Pay Off","922xx",18.35,0,"1/1/97",3,NA,NA,13,0,15462,29.6,20,FALSE,NA,2647,1
16750,11600,"60 months","11.49%",255.06,"B","B4","wdw","7 years","RENT",39000,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=565941",NA,"debt_consolidation","life saver","328xx",22.71,0,"8/1/04",1,NA,NA,7,0,4075,26,11,FALSE,NA,8027,1
3600,3600,"60 months","16.49%",88.49,"D","D3","solil management","5 years","OWN",31243,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=764963",NA,"car","Car loan","112xx",5.03,0,"5/1/07",1,NA,NA,5,0,2988,29,5,FALSE,NA,1311,1
